cv_folds,model,target,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_samples
5,Logistic Regression,MDR_FLAG,0.977612863327149,0.003957946815089653,0.9644976147883124,0.020589479440482148,0.9452521008403363,0.024788032655676834,0.9531921270857822,0.008955672350194926,491
5,Random Forest,MDR_FLAG,0.975592661306947,0.010277301649456254,0.9736249837918323,0.01706092830405317,0.9261904761904762,0.03813242232868324,0.9466506924246041,0.024805956481097263,491
5,KNN,MDR_FLAG,0.9695114409400123,0.015568701523868429,0.9613522774791008,0.025135637826635537,0.9107282913165268,0.049201650771315684,0.9325945752034066,0.038302526939781104,491
10,Logistic Regression,MDR_FLAG,0.9695102040816327,0.018618733204914053,0.9630637134744818,0.03507364090523521,0.9166666666666667,0.07103063757226807,0.9320168933715719,0.04511175092593154,491
10,Random Forest,MDR_FLAG,0.9796734693877551,0.015704263965736816,0.9774333450786938,0.02678457774385192,0.9404761904761905,0.052704627669472974,0.95546193527326,0.035413775522686354,491
10,KNN,MDR_FLAG,0.977591836734694,0.016957648694010865,0.9702387244538407,0.03199250220106137,0.9392857142857143,0.053093102668994654,0.9515500866693267,0.03730953795579886,491
